,ref
0,[]
1,[]
2,"['https://www.fitnessrevolucionario.com/2015/10/10/7-lecciones-estoicas-para-mejorar-tu-cuerpo-y-tu-vida/', 'https://www.fitnessrevolucionario.com/2013/11/09/saca-pecho-el-press-de-banca-y-como-complementarlo-para-desarrollar-los-pectorales-parte-i/', 'https://www.fitnessrevolucionario.com/2012/06/09/el-mejor-ejercicio-para-desarrollar-fuerza-y-musculo/', 'https://www.fitnessrevolucionario.com/2015/09/05/la-industria-del-fitness-contra-la-mujer/', 'https://www.fitnessrevolucionario.com/2012/03/17/introduccion-al-crossfit-para-revolucionarios/', 'https://www.fitnessrevolucionario.com/2012/03/17/introduccion-al-crossfit-para-revolucionarios/', 'https://www.fitnessrevolucionario.com/2016/02/27/sucias-carreras-o-como-entrenar-para-una-carrera-de-obstaculos/', 'https://www.fitnessrevolucionario.com/2013/08/21/entrenamientos-por-intervalos-para-quemar-grasa-por-que-funcionan-y-como-empezar/', 'https://www.fitnessrevolucionario.com/2014/01/13/mas-alla-de-la-fortaleza-conviertete-en-antifragil/', 'https://www.fitnessrevolucionario.com/2013/03/10/por-que-debes-ser-mas-fuerte-o-como-combinar-crossfit-y-culturismo/', 'https://www.fitnessrevolucionario.com/2015/09/12/mitos-ayuno-intermitente/', 'https://www.fitnessrevolucionario.com/2014/03/15/la-dieta-de-cafeteria-y-por-que-muchos-aditivos-son-peligrosos/', 'https://www.fitnessrevolucionario.com/2013/07/18/quieres-adelgazar-y-mejorar-tu-salud-aprende-a-cocinar/']"
3,[]
4,[]
5,['https://www.fitnessrevolucionario.com/2011/08/13/que-significa-fitness/']
6,"['https://www.fitnessrevolucionario.com/2013/09/07/guia-para-ectomorfos-o-como-ganar-volumen-parte-ii-entrenamiento/', 'https://www.fitnessrevolucionario.com/2016/04/16/corre-despacio-para-correr-mas-rapido-entrenamiento-polarizado/']"
7,['https://www.fitnessrevolucionario.com/2015/09/05/la-industria-del-fitness-contra-la-mujer/']
8,['https://www.fitnessrevolucionario.com/2015/07/05/pies-libres-mejora-tu-postura-salud-e-inteligencia/']
9,[]
10,"['https://www.fitnessrevolucionario.com/2014/10/06/endulzantes-naturales-y-artificiales-los-mejores-y-los-peores/', 'https://www.fitnessrevolucionario.com/2015/02/28/la-mafia-del-azucar-y-las-farmaceuticas/']"
11,[]
12,[]
13,[]
14,['https://www.fitnessrevolucionario.com/2015/03/23/los-mejores-carbohidratos-y-por-que-el-indice-glucemico-no-es-tan-importante/']
15,['https://www.fitnessrevolucionario.com/2015/08/22/descubre-si-estas-en-forma-6-tests-para-mejorar-tu-cuerpo/']
16,[]
17,[]
18,['https://www.fitnessrevolucionario.com/2015/01/18/claves-para-desarrollar-y-marcar-abdominales-parte-i/']
